Grievance,RepliedGrievance
"Application Form No : A2969826797 

२७. ०५. २०२५ आज आम्ही ऍडमिशन फीस रस Rs . १०2. 36/- भरली परंतू 
तरी application मध्ये पेंडिंग दाखवत आहे .  कृपया तुम्ही चेक करून update करा 

Transaction id - 514715702493 

Rs.102.36/-",Your payment is success
"ID NO D0404777712  
Pass: Govardhane@123 

I have payment paid and debit my account but not updated",Kindly verify/check after sometime
"Respected sir i could not show Part 2

plz guide us","Now part II is available, please log in to fill the form."
COLLEGE LIST TO CHOICE NOT SHOWN  OPTION & CHOICE FORM NOT AVAILABE,"Now part II is available, please log in to fill the form."
"Resp. Sir, 
we completed Part-I, but now I don't see the Part-II option for choosing the college for admission.","Now part II is available, please log in to fill the form."
part 1 filled but part 2 form not showing to choose college,"Now part II is available, please log in to fill the form."
kindly check not able to update part2 as not getting option,"Now part II is available, please log in to fill the form."
FORM PART 2 OPTION NOT SHOWING,"Now part II is available, please log in to fill the form."
I completed the part 1 application form but still the cap option form is not appearing. Please help me and solve my problem,"Now part II is available, please log in to fill the form."
Payment Amout Debit but Showing Pay Option In Application,Kindly check after 3 to 4 hour
from part 2 not seen,"Now part II is available, please log in to fill the form."
Part 2 Option not avaibale,"Now part II is available, please log in to fill the form."
I have completed the part 1 form but I cannot see the part 2 for option on the dashboard.,"Now part II is available, please log in to fill the form."
I paid 2 times and both payments were successful still the admission page is not showing the payment and I'm not able to proceed. How do I get 1 payment back and how do I proceed with the form?,You will get you payment back except one within 7 working days.
I paid 2 times and both payments were successful still the admission page is not showing the payment and I'm not able to proceed. How do I get 1 payment back and how do I proceed with the form?,You will get you payment back except one within 7 working days.
I have completed the part 1 form but I cannot see the part 2 for option on the dashboard.,"Now part II is available, please log in to fill the form."
"I have completed the part 1 form, but I cannot see the part 2 option on the dashboard.","Now part II is available, please log in to fill the form."
"Hi Team,
Part-I is completed. Part II is not visible how to procced for further step to search collage and take admission.","Now part II is available, please log in to fill the form."
unable to access Part 2 of form after locking part 1,"Now part II is available, please log in to fill the form."
List of college and payment no done,You need to select stream and medium correctly to search college. Please search college with full name.
I completed step part 1 payment also done but part 2 option not shown in log in pls help this issue,"Now part II is available, please log in to fill the form."
Part 2 of application form which is selection of preference is not showing,"Now part II is available, please log in to fill the form."
"We have made payment using UPI on this website.
UTR - 514714176620
Other details in screenshot.",Kindly verify/check after sometime
I have filled the Part I and locked the application form but part II is not visible.,"Now part II is available, please log in to fill the form."
option form not showing in my login,"Now part II is available, please log in to fill the form."
i tried unlock my application form because I want add some information but i am unable to unlock my application form,Please first unlock the your application form part II then your are able to unlock part I
I am unable to lock form part 1 as it is showing incomplete and i have filled in all the details. Attaching the document for your reference.,This issues is solve please Just relog Your account
Her is no option to fill the second part of form please let me know how to do.,"Now part II is available, please log in to fill the form."
"I HAVE PAID FORM FEES TWICE. 
BOTH TIMES IT WAS ASKED TO WAIT FOR 30 MINUTES AND PAY AGAIN.
HENCE I PAID TWICE.
STILL IT IS SHOWING FEES NOT PAID.
PENDING.",You will get you payment back except one within 7 working days.
